8203.499	4.32E-09									
8202.999	4.32E-09									
8202.499	4.32E-09									
8201.999	4.32E-09									
8201.499	4.32E-09									
8200.999	4.32E-09									
8200.499	4.32E-09									
8199.999	4.32E-09									
8199.499	4.32E-09									
8198.999	4.32E-09									
8198.499	4.32E-09									
8197.999	4.32E-09									
8197.499	4.32E-09									
8196.999	4.32E-09									
8196.499	4.32E-09									
8195.999	4.32E-09									
8195.499	4.32E-09									
8194.999	4.32E-09									
8194.499	4.32E-09									
8193.999	4.32E-09									
8193.499	4.32E-09									
8192.999	4.32E-09									
8192.499	4.32E-09									
8191.999	4.32E-09									
8191.499	4.32E-09									
8190.999	4.32E-09									
8190.499	4.32E-09									
8189.999	4.32E-09									
8189.499	4.32E-09									
8188.999	4.32E-09									
8188.499	4.32E-09									
8187.999	4.32E-09									
8187.499	4.31E-09									
8186.999	4.31E-09									
8186.499	4.31E-09									
8185.999	4.31E-09									
8185.499	4.31E-09									
8184.999	4.31E-09									
8184.499	4.31E-09									
8183.999	4.31E-09									
8183.499	4.31E-09									
8182.999	4.31E-09									
8182.499	4.31E-09									
8181.999	4.31E-09									
