8501.999	3.72E-09										
8501.499	3.72E-09										
8500.999	3.72E-09										
8500.499	3.72E-09										
8499.999	3.72E-09										
8499.499	3.72E-09										
8498.999	3.72E-09										
8498.499	3.72E-09										
8497.999	3.72E-09										
8497.499	3.72E-09										
8496.999	3.72E-09										
8496.499	3.72E-09										
8495.999	3.72E-09										
8495.499	3.72E-09										
8494.999	3.72E-09										
8494.499	3.72E-09										
8493.999	3.72E-09										
8493.499	3.72E-09										
8492.999	3.72E-09										
8492.499	3.72E-09										
8491.999	3.72E-09										
8491.499	3.72E-09										
8490.999	3.72E-09										
8490.499	3.72E-09										
8489.999	3.72E-09										
8489.499	3.72E-09										
8488.999	3.72E-09										
8488.499	3.72E-09										
8487.999	3.72E-09										
8487.499	3.72E-09										
8486.999	3.71E-09										
8486.499	3.72E-09										
8485.999	3.72E-09										
8485.499	3.71E-09										
8484.999	3.71E-09										
8484.499	3.72E-09										
8483.999	3.71E-09										
8483.499	3.71E-09										
8482.999	3.71E-09										
8482.499	3.71E-09										
8481.999	3.71E-09										
8481.499	3.71E-09										
8480.999	3.71E-09										
8480.499	3.71E-09										
8479.999	3.71E-09										
8479.499	3.71E-09										
8478.999	3.71E-09										
8478.499	3.71E-09										
8477.999	3.71E-09										
8477.499	3.71E-09										
8476.999	3.71E-09										
8476.499	3.71E-09										
8475.999	3.71E-09										
8475.499	3.71E-09										
8474.999	3.71E-09										
8474.499	3.71E-09										
8473.999	3.71E-09										
8473.499	3.71E-09										
8472.999	3.71E-09										
8472.499	3.71E-09										
8471.999	3.71E-09										
8471.499	3.71E-09										
8470.999	3.71E-09										
8470.499	3.71E-09										
8469.999	3.71E-09										
8469.499	3.71E-09										
8468.999	3.71E-09										
8468.499	3.71E-09										
8467.999	3.71E-09										
8467.499	3.71E-09										
8466.999	3.71E-09										
8466.499	3.71E-09										
8465.999	3.71E-09										
8465.499	3.71E-09										
8464.999	3.71E-09										
8464.499	3.71E-09										
8463.999	3.71E-09										
8463.499	3.71E-09										
8462.999	3.71E-09										
8462.499	3.71E-09										
8461.999	3.71E-09										
8461.499	3.71E-09										
8460.999	3.70E-09										
8460.499	3.71E-09										
8459.999	3.71E-09										
8459.499	3.71E-09										
8458.999	3.71E-09										
8458.499	3.71E-09										
8457.999	3.70E-09										
8457.499	3.71E-09										
8456.999	3.70E-09										
8456.499	3.71E-09										
8455.999	3.70E-09										
8455.499	3.70E-09										
8454.999	3.70E-09										
8454.499	3.70E-09										
8453.999	3.70E-09										
8453.499	3.70E-09										
8452.999	3.70E-09										
8452.499	3.70E-09										
8451.999	3.70E-09										
8451.499	3.70E-09										
8450.999	3.70E-09										
8450.499	3.70E-09										
8449.999	3.70E-09										
8449.499	3.70E-09										
8448.999	3.70E-09										
8448.499	3.70E-09										
8447.999	3.70E-09										
8447.499	3.70E-09										
8446.999	3.70E-09										
8446.499	3.70E-09										
8445.999	3.70E-09										
8445.499	3.70E-09										
8444.999	3.70E-09										
8444.499	3.70E-09										
8443.999	3.70E-09										
8443.499	3.70E-09										
8442.999	3.70E-09										
8442.499	3.70E-09										
8441.999	3.70E-09										
8441.499	3.70E-09										
8440.999	3.70E-09										
8440.499	3.70E-09										
8439.999	3.70E-09										
8439.499	3.70E-09										
8438.999	3.70E-09										
8438.499	3.70E-09										
8437.999	3.70E-09										
8437.499	3.70E-09										
8436.999	3.70E-09										
8436.499	3.70E-09										
8435.999	3.70E-09										
8435.499	3.70E-09										
8434.999	3.70E-09										
8434.499	3.69E-09										
8433.999	3.69E-09										
8433.499	3.69E-09										
8432.999	3.69E-09										
8432.499	3.69E-09										
8431.999	3.69E-09										
8431.499	3.69E-09										
8430.999	3.69E-09										
8430.499	3.69E-09										
8429.999	3.69E-09										
8429.499	3.69E-09										
8428.999	3.69E-09										
8428.499	3.69E-09										
8427.999	3.69E-09										
8427.499	3.69E-09										
8426.999	3.69E-09										
8426.499	3.69E-09										
8425.999	3.69E-09										
8425.499	3.69E-09										
8424.999	3.69E-09										
8424.499	3.69E-09										
8423.999	3.69E-09										
8423.499	3.69E-09										
8422.999	3.69E-09										
8422.499	3.69E-09										
8421.999	3.69E-09										
8421.499	3.69E-09										
8420.999	3.69E-09										
8420.499	3.69E-09										
8419.999	3.69E-09										
8419.499	3.69E-09										
8418.999	3.69E-09										
8418.499	3.69E-09										
8417.999	3.69E-09										
8417.499	3.69E-09										
8416.999	3.69E-09										
8416.499	3.69E-09										
8415.999	3.69E-09										
8415.499	3.69E-09										
8414.999	3.69E-09										
8414.499	3.69E-09										
8413.999	3.69E-09										
8413.499	3.69E-09										
8412.999	3.69E-09										
8412.499	3.69E-09										
8411.999	3.69E-09										
8411.499	3.69E-09										
8410.999	3.69E-09										
8410.499	3.69E-09										
8409.999	3.69E-09										
8409.499	3.69E-09										
8408.999	3.68E-09										
8408.499	3.68E-09										
8407.999	3.68E-09										
8407.499	3.68E-09										
8406.999	3.68E-09										
8406.499	3.68E-09										
8405.999	3.68E-09										
8405.499	3.68E-09										
8404.999	3.68E-09										
8404.499	3.68E-09										
8403.999	3.68E-09										
8403.499	3.68E-09										
8402.999	3.68E-09										
8402.499	3.68E-09										
8401.999	3.68E-09										
8401.499	3.68E-09										
8400.999	3.68E-09										
8400.499	3.68E-09										
8399.999	3.68E-09										
8399.499	3.68E-09										
8398.999	3.68E-09										
8398.499	3.68E-09										
8397.999	3.68E-09										
8397.499	3.68E-09										
8396.999	3.68E-09										
8396.499	3.68E-09										
8395.999	3.68E-09										
8395.499	3.68E-09										
8394.999	3.68E-09										
8394.499	3.68E-09										
8393.999	3.68E-09										
8393.499	3.68E-09										
8392.999	3.68E-09										
8392.499	3.68E-09										
8391.999	3.68E-09										
8391.499	3.68E-09										
8390.999	3.68E-09										
8390.499	3.68E-09										
8389.999	3.68E-09										
8389.499	3.68E-09										
8388.999	3.68E-09										
8388.499	3.68E-09										
8387.999	3.68E-09										
8387.499	3.68E-09										
8386.999	3.68E-09										
8386.499	3.68E-09										
8385.999	3.68E-09										
8385.499	3.68E-09										
8384.999	3.68E-09										
8384.499	3.67E-09										
8383.999	3.68E-09										
8383.499	3.68E-09										
8382.999	3.68E-09										
8382.499	3.68E-09										
8381.999	3.67E-09										
8381.499	3.68E-09										
8380.999	3.67E-09										
8380.499	3.68E-09										
8379.999	3.68E-09										
8379.499	3.67E-09										
8378.999	3.68E-09										
8378.499	3.68E-09										
8377.999	3.68E-09										
8377.499	3.68E-09										
8376.999	3.67E-09										
8376.499	3.67E-09										
8375.999	3.67E-09										
8375.499	3.68E-09										
8374.999	3.68E-09										
8374.499	3.67E-09										
8373.999	3.67E-09										
8373.499	3.67E-09										
8372.999	3.68E-09										
8372.499	3.67E-09										
8371.999	3.67E-09										
8371.499	3.67E-09										
8370.999	3.67E-09										
8370.499	3.67E-09										
8369.999	3.67E-09										
8369.499	3.67E-09										
8368.999	3.67E-09										
8368.499	3.67E-09										
8367.999	3.67E-09										
8367.499	3.67E-09										
8366.999	3.67E-09										
8366.499	3.67E-09										
8365.999	3.67E-09										
8365.499	3.67E-09										
8364.999	3.67E-09										
8364.499	3.67E-09										
8363.999	3.67E-09										
8363.499	3.67E-09										
8362.999	3.67E-09										
8362.499	3.67E-09										
8361.999	3.67E-09										
8361.499	3.67E-09										
8360.999	3.67E-09										
8360.499	3.67E-09										
8359.999	3.67E-09										
8359.499	3.67E-09										
8358.999	3.67E-09										
8358.499	3.67E-09										
8357.999	3.67E-09										
8357.499	3.67E-09										
8356.999	3.67E-09										
8356.499	3.67E-09										
8355.999	3.67E-09										
8355.499	3.67E-09										
8354.999	3.67E-09										
8354.499	3.67E-09										
8353.999	3.67E-09										
8353.499	3.67E-09										
8352.999	3.67E-09										
8352.499	3.67E-09										
8351.999	3.67E-09										
8351.499	3.67E-09										
8350.999	3.67E-09										
8350.499	3.67E-09										
8349.999	3.67E-09										
8349.499	3.67E-09										
8348.999	3.67E-09										
8348.499	3.67E-09										
8347.999	3.67E-09										
8347.499	3.67E-09										
8346.999	3.67E-09										
8346.499	3.67E-09										
8345.999	3.67E-09										
8345.499	3.67E-09										
8344.999	3.67E-09										
8344.499	3.67E-09										
8343.999	3.66E-09										
8343.499	3.66E-09										
8342.999	3.66E-09										
