# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:02:36 PM
# Stepper motors position: X 14,029.400 µm; Y 9,891.000 µm; Z 8,391.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8300.999, -190.500, 4.30023193359375E-09
8300.499, -191.000, 4.29962158203125E-09
8299.999, -191.500, 4.3017578125E-09
8299.499, -192.000, 4.3017578125E-09
8298.999, -192.500, 4.3011474609375E-09
8298.499, -193.000, 4.2999267578125E-09
8297.999, -193.500, 4.30084228515625E-09
8297.499, -194.000, 4.30145263671875E-09
8296.999, -194.500, 4.29901123046875E-09
8296.499, -195.000, 4.30084228515625E-09
8295.999, -195.500, 4.30084228515625E-09
8295.499, -196.000, 4.29901123046875E-09
8294.999, -196.500, 4.29931640625E-09
8294.499, -197.000, 4.29901123046875E-09
8293.999, -197.500, 4.29931640625E-09
8293.499, -198.000, 4.2999267578125E-09
8292.999, -198.500, 4.29931640625E-09
8292.499, -199.000, 4.30023193359375E-09
8291.999, -199.500, 4.30023193359375E-09
8291.499, -200.000, 4.29962158203125E-09
8290.999, -200.500, 4.29931640625E-09
8290.499, -201.000, 4.29901123046875E-09
8289.999, -201.500, 4.2999267578125E-09
8289.499, -202.000, 4.30084228515625E-09
8288.999, -202.500, 4.30023193359375E-09
8288.499, -203.000, 4.2974853515625E-09
8287.999, -203.500, 4.29962158203125E-09
8287.499, -204.000, 4.29901123046875E-09
8286.999, -204.500, 4.29931640625E-09
8286.499, -205.000, 4.298095703125E-09
8285.999, -205.500, 4.29779052734375E-09
8285.499, -206.000, 4.298095703125E-09
8284.999, -206.500, 4.2962646484375E-09
8284.499, -207.000, 4.2974853515625E-09
8283.999, -207.500, 4.29901123046875E-09
8283.499, -208.000, 4.2987060546875E-09
8282.999, -208.500, 4.2987060546875E-09
8282.499, -209.000, 4.296875E-09
