# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 4:04:15 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,295.999 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8200.999, -195.000, 3.86138916015625E-09
8200.499, -195.500, 3.86077880859375E-09
8199.999, -196.000, 3.86322021484375E-09
8199.499, -196.500, 3.861083984375E-09
8198.999, -197.000, 3.86016845703125E-09
8198.499, -197.500, 3.86016845703125E-09
8197.999, -198.000, 3.85955810546875E-09
8197.499, -198.500, 3.8592529296875E-09
8196.999, -199.000, 3.85833740234375E-09
8196.499, -199.500, 3.8592529296875E-09
8195.999, -200.000, 3.8604736328125E-09
8195.499, -200.500, 3.85833740234375E-09
8194.999, -201.000, 3.8580322265625E-09
8194.499, -201.500, 3.858642578125E-09
8193.999, -202.000, 3.85772705078125E-09
8193.499, -202.500, 3.85772705078125E-09
8192.999, -203.000, 3.85711669921875E-09
8192.499, -203.500, 3.856201171875E-09
8191.999, -204.000, 3.8568115234375E-09
8191.499, -204.500, 3.856201171875E-09
8190.999, -205.000, 3.857421875E-09
8190.499, -205.500, 3.85711669921875E-09
8189.999, -206.000, 3.856201171875E-09
8189.499, -206.500, 3.85498046875E-09
8188.999, -207.000, 3.85589599609375E-09
8188.499, -207.500, 3.85467529296875E-09
8187.999, -208.000, 3.8543701171875E-09
8187.499, -208.500, 3.85406494140625E-09
8186.999, -209.000, 3.85284423828125E-09
8186.499, -209.500, 3.853759765625E-09
8185.999, -210.000, 3.853759765625E-09
8185.499, -210.500, 3.85284423828125E-09
8184.999, -211.000, 3.85223388671875E-09
8184.499, -211.500, 3.85162353515625E-09
8183.999, -212.000, 3.8507080078125E-09
8183.499, -212.500, 3.8525390625E-09
